dx,dy,dtheta,dv
-6.464484405517578125e+01,2.447101020812988281e+01,2.778528500293360286e-03,5.000000049999733798e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000049997338492e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000049998216956e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000049998216956e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000049998216956e-02
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000049998216956e-02
-6.439208984375000000e-03,-1.907348632812500000e-05,-5.123464206493663631e-08,2.946958125306629594e-01
-2.329736544598404180e-02,-2.151921639139686704e-04,5.503193387030257643e-04,3.708744725626733629e-02
-3.675847138291032934e-02,-4.104826250639348473e-04,1.013549563724431158e-03,4.901440094537712344e-01
-7.828904079210019518e-02,-4.870746251306456998e-04,5.972117322182056084e-04,4.280222797671768831e-01
-1.215047196727851997e-01,-8.086606564887688364e-04,2.790518288124160459e-04,6.613652812736042774e-01
-1.858249109416760803e-01,-3.755001967114424133e-03,-8.189692775278849257e-02,7.044000572982740405e-01
-1.987320882623748730e-01,-4.512935266301809634e-03,-1.135897628234306123e-01,-1.223761803439000317e+00
-1.210090908822536448e-01,-7.680689221011505197e-03,-6.099336546383626184e-02,4.300098291818377216e-01
-1.703729000471838617e-01,-1.758077501679977672e-02,-8.794269773442263405e-02,7.127755302606919585e-01
-1.839483902981413621e-01,-1.373211528930085024e-02,-1.162149768002954803e-01,-1.193596168117967204e+00
-1.188153184314160171e-01,-1.167500741628302308e-02,-9.409083780359338289e-03,6.892838265892247129e-01
-1.753605400921429691e-01,-6.067382467374926591e-03,7.069108536912697971e-02,3.225341747985264185e-01
-2.072836120956935702e-01,7.013309350607954684e-03,9.155797871809925881e-02,4.618810853595918253e-01
-2.016289142642193610e-01,1.130777178035202724e-02,1.137962705047500522e-01,-1.285293962967904102e+00
-1.285653285373058452e-01,1.414399553370415674e-02,6.029141009682523200e-02,6.866211678651374939e-01
-1.858209269283577214e-01,2.673260653101650064e-02,9.825371040615457630e-02,4.139681982238245794e-01
-1.788138677570145774e-01,2.408537584303616086e-02,1.149578070155484882e-01,-1.064627915431393346e+00
-1.136081704314761964e-01,2.185927275902344036e-02,6.867801935324938101e-02,4.503790957409248286e-01
-1.527123535235972440e-01,3.131320221336508780e-02,9.548278640673357742e-02,3.924736371326074114e-01
-1.817725347239615985e-01,4.003062836743254138e-02,1.217334672244862886e-01,3.439783654174812799e-01
-1.697105683425945699e-01,2.913042409235089281e-02,1.260321762567999659e-01,-1.181463299608953577e+00
-1.002178523626753304e-01,1.986251401223526614e-02,1.519621413802335619e-02,3.476364891947615332e-01
-1.465547897921339882e-01,1.477252095543590826e-02,-4.328694784128508943e-02,6.668694545475133406e-01
-2.012695962365995683e-01,1.402731437874393805e-03,-7.669448359049332864e-02,4.247600342500426063e-01
-1.949932836091363697e-01,-9.057970478036025952e-03,-1.021887126421684722e-01,-1.284826880863875864e+00
-1.238978499596754546e-01,-1.436118005771547246e-02,-5.189672065344624885e-02,7.219388072231660569e-01
-1.897338317285459652e-01,-3.350355217905232053e-02,-9.055796423018436236e-02,5.920825882633715675e-01
-1.925333626112859520e-01,-3.404447346969163846e-02,-1.169716048247201046e-01,-1.168142655171874100e+00
-1.191323681322273842e-01,-2.713734808892098727e-02,-6.566404248759069584e-02,3.569076369367485402e-01
-1.523807728295025754e-01,-3.838848308072684290e-02,-8.750483459225576188e-02,4.340642334913256128e-01
-1.828661028411318057e-01,-4.818498259194470279e-02,-1.128197807655016566e-01,3.623809046013521939e-01
-1.745400993174541782e-01,-3.923018236741171449e-02,-1.211720013454134770e-01,-1.226134462349737220e+00
-1.003862638414290132e-01,-2.592350727345404948e-02,-1.505969726633051009e-02,4.076746223386229495e-01
-1.453342856527086724e-01,-3.309048214581267189e-02,-8.568979374754621958e-02,6.042886089324706056e-01
-1.872655285102382550e-01,-4.140626909070732609e-02,-1.204942177960385136e-01,3.719429931432651770e-01
-1.798432935569707070e-01,-3.175960285950907291e-02,-1.279911694672382361e-01,-1.197629053816682498e+00
-1.037776805401762203e-01,-2.083759600676060586e-02,-1.590713244999925752e-02,2.675692676509284773e-01
-1.444645647157045687e-01,-1.946175694675389423e-02,-1.411769444949106250e-02,7.285236559088354991e-01
-2.113865483104717669e-01,-9.495895925837771756e-03,7.783466425949869816e-02,5.637560278246771528e-01
-2.130408902752094491e-01,1.648479474834374514e-03,1.102084890330782274e-01,-1.294796611260973007e+00
-1.365603051070536367e-01,1.022043599376232237e-02,5.977083608565304795e-02,5.898444602384083080e-01
-1.954938569927122671e-01,2.704412184801796570e-02,9.279735522436986794e-02,6.332584432771766192e-01
-1.999432318515346196e-01,2.677994744768952273e-02,1.193020885961252192e-01,-1.298833498862506097e+00
-1.144625944937160966e-01,2.090592900818677435e-02,6.210311545080125784e-02,3.885574045906501350e-01
-1.533606456978304777e-01,3.315814793731775012e-02,8.676708997178100846e-02,4.635057966831799270e-01
-1.856340356363403998e-01,4.220601734296280938e-02,1.134836068577238649e-01,3.162423766713966522e-01
-2.106608316209559462e-01,5.032868148095914762e-02,1.351513433983757562e-01,4.087513891815786060e-01
-2.040404499272909788e-01,3.991508280079614224e-02,1.444277957974338944e-01,-1.193878949874782158e+00
-1.252829052109518670e-01,3.004878947027478375e-02,8.699908219142354904e-02,2.318671497282120963e-01
-1.479013599060436945e-01,3.514732349578864046e-02,1.041518296457570880e-01,4.378360367692217814e-01
-1.861698972559793219e-01,3.841546927685257629e-02,1.305745465882615641e-01,4.874267201421071949e-01
-1.878340458974889771e-01,2.442158915294712074e-02,1.413148733784480582e-01,-1.123011630518855108e+00
-1.172068389380598319e-01,1.824218027820379007e-02,8.313006947584174189e-02,2.777047365918248190e-01
-1.436802629012987609e-01,1.750871477726434478e-02,1.010830422633480913e-01,3.914318038104100950e-01
-1.767759289842700809e-01,1.487920287011945675e-02,1.232638155453708168e-01,3.987581703619311746e-01
-2.073708426303824126e-01,8.356194651408799245e-03,1.449923481566829653e-01,3.144579071249298252e-01
-2.337802238359216744e-01,6.669264553949005858e-05,1.631850642909220550e-01,3.695090569248278278e-01
-2.611098016431441238e-01,-1.219445943850416825e-02,1.838967421396904833e-01,2.700026311979439875e-01
-2.790358956901712872e-01,-2.747373617304660343e-02,1.997519347815080726e-01,1.368104931527427404e-01
-2.844488974589296504e-01,-4.342646539556227481e-02,2.067936697407998237e-01,5.974814764886460239e-02
-2.836542407216313677e-01,-5.953493624186023681e-02,2.092558768906683242e-01,6.907041577668726617e-02
-2.842164020201778385e-01,-7.654130831136285451e-02,2.122140779582753489e-01,1.011320744154677875e-01
-2.863457628745180727e-01,-9.610492624395305938e-02,2.168597757691878014e-01,1.918997157614192872e-01
-2.938228450343842724e-01,-1.199199484434885221e-01,2.263886380434935175e-01,2.513001151763889496e-01
-3.035440297848737146e-01,-1.480403939411729652e-01,2.399562684048600625e-01,2.974638942726319790e-01
-3.125524553105094583e-01,-1.804044148542587322e-01,2.560134654140387989e-01,3.038928690533562182e-01
-3.181860619245497901e-01,-2.159904161680650247e-01,2.726864467604948050e-01,3.116045167731540388e-01
-3.195302896636462719e-01,-2.548033556560902468e-01,2.896911559622281640e-01,3.132719466628861582e-01
-3.151806435476487422e-01,-2.959958401894304814e-01,3.068498408235265096e-01,3.018286344348366512e-01
-3.040162710917826416e-01,-3.382709875676503941e-01,3.234085424312729273e-01,2.912577019495943276e-01
-2.856854876547032518e-01,-3.809518891521577189e-01,3.393946305162135468e-01,2.828787232430407528e-01
-2.599081434913017574e-01,-4.232265648820074944e-01,3.549157709250210235e-01,2.755924703294425626e-01
-2.264133039248008572e-01,-4.640628564315356641e-01,3.700299022942050708e-01,2.687566085981814012e-01
-1.851015229113954774e-01,-5.022347031818057417e-01,3.847644042552391674e-01,2.619897357414329164e-01
-1.461545200410938605e-01,-5.494672842104826316e-01,-1.796657157378109826e-01,2.176332815398502873e-01
-5.903082025946559952e-02,-5.716541943612583054e-01,-1.975507368454856305e-01,4.026095385103278801e-02
7.243950543127652963e-03,-5.832588381935366328e-01,-2.108818898170372602e-01,8.056314351680438079e-02
7.949708897955076736e-02,-5.896062731064724005e-01,-2.288310926993502026e-01,5.478680898299614910e-02
1.463429107814135932e-01,-5.872720341113684128e-01,-2.470546632569163847e-01,8.120900362876604106e-02
2.081768220599542474e-01,-5.819708166629062873e-01,-2.672938863077800598e-01,1.421894854318921375e-01
2.625244585470056791e-01,-5.772628228473841716e-01,-2.926501239845071822e-01,2.012738715053385974e-01
3.074934477364053009e-01,-5.755726287006766029e-01,-3.229210570578704420e-01,2.616334778063578170e-01
3.406019374570945502e-01,-5.802259952539969845e-01,-3.568434946575735900e-01,3.151101378208975845e-01
3.380763790873970720e-01,-5.882732528466654287e-01,-3.955959036566194520e-01,1.496226009670493795e-01
